split_seed,candidate_id,display_name,candidate_model_type,candidate_family,K,L,selection_metric,n_em_starts,model_type,model_family,em_start,em_seed,success,train_bic,train_aic,heldout_bic,heldout_aic,train_log_likelihood,heldout_log_likelihood,train_avg_log_likelihood,heldout_avg_log_likelihood,train_gmpd,heldout_gmpd,n_free_params,n_iter,converged,fit_time,n_train,n_test
16,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,478144638,True,1120843.4252196762,1118354.2574807073,282806.8783508772,280665.6637940111,-558926.1287403536,-140081.83189700556,-3.7313483279504487,-3.7406027369757684,0.023960507425088227,0.02373978996899095,251,54,True,69.43371325000044,149792,37449
17,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,1699098079,True,1183487.5338821101,1183140.4387790665,298209.19120182423,297910.6154668031,-591535.2193895333,-148920.30773340154,-3.949044137133714,-3.9766164045342074,0.019273115428877226,0.018748971066323963,35,33,True,9.238553541996225,149792,37449
17,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,9477034,True,1147087.8535933243,1146383.7463842933,289349.7500135432,288744.0678082145,-573120.8731921467,-144301.03390410726,-3.826111362370131,-3.8532680152769703,0.0217942008120902,0.021210307443905306,71,66,True,24.824158583003737,149792,37449
17,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,2002680888,True,1166392.4793181918,1165866.8781621545,293814.0126123799,293361.883642205,-582880.4390810772,-146627.9418211025,-3.8912654820089005,-3.9154033971829016,0.02041948918450301,0.019932506306738117,53,29,True,9.482288709004933,149792,37449
17,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,559410535,True,1141205.681094379,1140144.5617793603,287867.14911156805,286954.3604359319,-569965.2808896801,-143370.18021796594,-3.8050448681483666,-3.8284114453781393,0.022258198459501468,0.021744129946776936,107,66,True,27.727034208000987,149792,37449
17,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,2120851281,True,1169549.417937669,1169113.0698081285,294690.0362899599,294314.6839373619,-584512.5349040643,-147113.34196868094,-3.9021612295988053,-3.928365028937513,0.02019821126772047,0.019675815658614013,44,64,True,27.848426709002524,149792,37449
17,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,260897427,True,1130149.826716343,1128910.2013483304,286006.3587607151,284940.0168499252,-564330.1006741652,-142345.0084249626,-3.767424833597022,-3.80103630070129,0.02311150268644649,0.022347601017654387,125,48,True,56.74455587500415,149792,37449
17,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,968485255,True,1141105.3748949496,1140460.769703583,288124.2481164551,287569.75032284437,-570165.3848517915,-143719.87516142218,-3.8063807469810906,-3.837749343411631,0.022228484055165698,0.021542030538864047,65,25,True,12.599251499996171,149792,37449
17,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,604159055,True,1120504.918031228,1118015.750292259,283888.6497826865,281747.4352258204,-558756.8751461295,-140622.7176129102,-3.730218403827504,-3.75504599890278,0.02398759628172002,0.023399374238914587,251,81,True,94.70616137499746,149792,37449
18,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,1482100939,True,1183452.1641101667,1183105.0690071231,298593.21018033265,298294.6344453115,-591517.5345035616,-149112.31722265575,-3.94892607417994,-3.9817436306084475,0.019275391004141107,0.018653086873029304,35,32,True,8.87212883400207,149792,37449
18,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,2020057367,True,1146903.26404937,1146199.156840339,289633.68990011804,289028.0076947894,-573028.5784201695,-144443.0038473947,-3.8254952094916255,-3.857059036219784,0.02180763350952792,0.02113005094733103,71,87,True,30.573031332998653,149792,37449
18,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,168292307,True,1166194.0601174838,1165668.4589614465,294261.4205163245,293809.2915461496,-582781.2294807233,-146851.6457730748,-3.8906031662620384,-3.921376959947523,0.020433017813350204,0.01981379315250522,53,26,True,8.96981224999763,149792,37449
18,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,985802101,True,1141651.3852993296,1140590.265984311,288314.8368579773,287402.04818234115,-570188.1329921555,-143594.02409117058,-3.8065326118361162,-3.8343887444570104,0.02222510858597128,0.021614546444364197,107,69,True,29.014670167001896,149792,37449
18,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1982384076,True,1169193.533477257,1168757.1853477166,295052.9359943911,294677.58364179305,-584334.5926738583,-147294.79182089653,-3.900973300802835,-3.933210281206348,0.020222219561761078,0.01958071195492916,44,70,True,30.79206174999854,149792,37449
18,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1352360682,True,1130566.5551749894,1129326.9298069768,286242.1312338072,285175.7893230173,-564538.4649034884,-142462.89466150865,-3.7688158573454418,-3.8041842148390783,0.023079376386751116,0.022277363297622123,125,42,True,51.90130987500015,149792,37449
18,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,716935740,True,1141428.9941920948,1140784.3890007283,288647.9302078603,288093.4324142496,-570327.1945003641,-143981.7162071248,-3.8074609758889935,-3.844741280331245,0.022204485168589652,0.021391935359705256,65,23,True,11.587127958002384,149792,37449
18,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,314461801,True,1120560.7570753307,1118071.5893363617,284692.49572701583,282551.28117014974,-558784.7946681809,-141024.64058507487,-3.73040479243338,-3.765778541084538,0.023983125683737967,0.02314958231677605,251,88,True,112.11683975000051,149792,37449
19,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,2000006294,True,1184468.5006387283,1184121.4055356847,296698.0520577829,296399.47632276174,-592025.7027678423,-148164.73816138087,-3.9523185668650016,-3.9564404433063864,0.01921011017613338,0.019131091440171506,35,34,True,9.339914541000326,149792,37449
19,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,1451694798,True,1147218.7978792782,1146514.6906702472,287696.75547959737,287091.0732742687,-573186.3453351236,-143474.53663713436,-3.8265484494173494,-3.8311980730362456,0.021784676930744967,0.02168362149927795,71,40,True,17.946024999997462,149792,37449
19,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,1460018635,True,1167146.919703663,1166621.3185476258,292570.39797530446,292118.2690051295,-583257.6592738129,-146006.13450256476,-3.8937837753272064,-3.898799287098848,0.02036813161517991,0.020266230767361122,53,26,True,9.021015916994656,149792,37449
19,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,1108016112,True,1146531.6275645008,1145470.5082494821,287877.75921613374,286964.97054049757,-572628.2541247411,-143375.48527024878,-3.8228226749408583,-3.8285531060975937,0.021865993112844886,0.021741049875852448,107,29,True,15.937624124999274,149792,37449
